Rank,ID,Business,Industry,Hit Score,Forecast Reply Window,Signal,Email,Website,ServiceFocus,Graphic Filename
51,SJ2-051,San Jose Flowers,Florist,70,1–6 hr,open daily,sanjoseflowers1@yahoo.com,https://sanjoseflowersonline.com/,florist,051-SJ2-051-san-jose-flowers.png
52,SJ2-052,Alisha K9 Dog Training,Dog Training,68,2–12 hr,owner direct,alisha.caninetrainer@gmail.com,https://www.alishak9.com/,dog training,052-SJ2-052-alisha-k9-dog-training.png
53,SJ2-053,Aria's Sweet Treats,Bakery,68,2–12 hr,family-owned,Arias.SweetTreats@yahoo.com,https://www.arias-sweet-treats.com/about,bakery,053-SJ2-053-aria-s-sweet-treats.png
54,SJ2-054,At Home with Roopali,Interior Design,68,2–12 hr,owner direct,athomewithroopali@gmail.com,https://www.athomewithroopali.com/,interior design,054-SJ2-054-at-home-with-roopali.png
55,SJ2-055,Caballero Painting,Painting,68,2–12 hr,owner-style inbox,lopez82manuel@gmail.com,https://caballeropaintingincca.com/contact-us/,painting,055-SJ2-055-caballero-painting.png
56,SJ2-056,Cruz Party Rentals,Party Rentals,68,2–12 hr,family-owned,Cruzpartyrentals1@gmail.com,https://www.cruzpartyrentals1.com/,party rentals,056-SJ2-056-cruz-party-rentals.png
57,SJ2-057,Detailz Car Care,Auto Detailing,68,2–12 hr,direct owner inbox,jrcamposai@yahoo.com,https://detailzcarcare.com/contact-us/,mobile detailing,057-SJ2-057-detailz-car-care.png
58,SJ2-058,Frankie's House of Hair,Hair Salon,68,2–12 hr,owner-operated,FRANKIESHOUSEOFHAIR@GMAIL.COM,https://www.frankieshouseofhair.com/,hair salon,058-SJ2-058-frankie-s-house-of-hair.png
59,SJ2-059,Nancy Doize School of Dance,Dance,68,2–12 hr,owner direct,missnancydancer@mac.com,https://www.nancydoizeschoolofdance.com/,dance classes,059-SJ2-059-nancy-doize-school-of-dance.png
60,SJ2-060,Nikko Jujitsu,Martial Arts,68,2–12 hr,owner direct,richardjbunch@yahoo.com,https://www.nikkojujitsu.com/,martial arts,060-SJ2-060-nikko-jujitsu.png
