Rank,ID,Business,Industry,Hit Score,Forecast Reply Window,Signal,Email,Website,ServiceFocus,Graphic Filename
1,SJ2-001,Bay Best Garage Door,Garage Door,92,15–90 min,24/7 + one-hour reply,hello@baybestgaragedoor.com,https://www.baybestgaragedoors.com/areas/san-jose,garage door repair,001-SJ2-001-bay-best-garage-door.png
2,SJ2-002,Bay Line Plumbing,Plumbing,92,1–4 hr,24-hour service,sal@baylineplumbing.com,https://www.baylineplumbing.com/,plumbing,002-SJ2-002-bay-line-plumbing.png
3,SJ2-003,Drain and Water,Plumbing,92,1–4 hr,24/7 same-day,info@drainandwater.com,https://www.drainandwater.com/,drain and sewer,003-SJ2-003-drain-and-water.png
4,SJ2-004,One Day Complete Repipe,Plumbing,92,1–4 hr,same-day + 24/7,info@plumbingcontractorsanjoseca.com,https://plumbingcontractorsanjoseca.com/,repiping and plumbing,004-SJ2-004-one-day-complete-repipe.png
5,SJ2-005,SWAGS Plumbing and Rooter,Plumbing,92,1–4 hr,24-hour emergency,contactus@swagsplumbing.com,https://www.swagsplumbing.com/contact-us/,plumbing and rooter,005-SJ2-005-swags-plumbing-and-rooter.png
6,SJ2-006,All One Landscape,Landscaping,85,1–4 hr,24-hour quote response,info@allonelandscape.com,https://allonelandscape.com/,landscaping,006-SJ2-006-all-one-landscape.png
7,SJ2-007,The Prestige Venue,Event Venue,85,1–4 hr,24-hour reply,info@prestigevenue.com,https://prestigevenue.com/contact,event venue,007-SJ2-007-the-prestige-venue.png
8,SJ2-008,Edenvale Gates & Doors,Garage Door,84,1–6 hr,manager direct + open 7 days,spencer@edenvalegaragedoors.com,https://edenvalegaragedoors.com/,garage doors,008-SJ2-008-edenvale-gates-doors.png
9,SJ2-009,Garage Door Repair Silicon Valley,Garage Door,83,1–4 hr,quick response,GarageDoorRepairSVTeam@gmail.com,https://garagedoorrepairsiliconvalley.com/,garage door repair,009-SJ2-009-garage-door-repair-silicon-valley.png
10,SJ2-010,California First Roofing,Roofing,80,15–90 min,15-minute response claim,sales@californiafirstroofing.com,https://californiafirstroofingsanjose.com/,roofing,010-SJ2-010-california-first-roofing.png
11,SJ2-011,Dueling Trowels Concrete Solutions,Concrete,80,1–4 hr,same-day response,concrete@duelingtrowels.com,https://duelingtrowels.com/contact,concrete,011-SJ2-011-dueling-trowels-concrete-solutions.png
12,SJ2-012,Juthani Speed Lab,Mobile Mechanic,80,1–4 hr,few-hours response,vasav@juthanispeedlab.com,https://juthanispeedlab.com/,mobile mechanic,012-SJ2-012-juthani-speed-lab.png
13,SJ2-013,One Stop Garage Doors & Gates,Garage Door,80,1–4 hr,same-day service,info@onestopgaragegates.com,https://onestopgaragegates.com/,garage doors and gates,013-SJ2-013-one-stop-garage-doors-gates.png
14,SJ2-014,Precision Concrete Inc,Concrete,80,1–4 hr,responds within 2 hours,estimates@precisionconcreteinc.net,https://precisionconcreteinc.net/,concrete,014-SJ2-014-precision-concrete-inc.png
15,SJ2-015,San Jose Catering Company,Catering,80,1–4 hr,same-day pricing,info@sanjoselocalcatering.com,https://sanjoselocalcatering.com/,catering,015-SJ2-015-san-jose-catering-company.png
16,SJ2-016,Seltzer Restoration,Restoration,77,1–6 hr,emergency phone hours,seltzerbritton@gmail.com,https://seltzerrestorationllc.com/contact,water/mold cleanup,016-SJ2-016-seltzer-restoration.png
17,SJ2-017,Golden State Auto Glass & Tinting,Auto Tint,76,15–90 min,quotes under an hour,goldenstateautoglasstints@gmail.com,https://gsglasstint.com/,window tint,017-SJ2-017-golden-state-auto-glass-tinting.png
18,SJ2-018,Speedy Appliance Repair,Appliance Repair,76,1–4 hr,same-day appointments,Speedyhomeappliance@gmail.com,https://www.speedy-appliance.com/,appliance repair,018-SJ2-018-speedy-appliance-repair.png
19,SJ2-019,Andy's Concrete Solutions,Concrete,75,2–12 hr,call/text owner,andyconcrete@yahoo.com,https://www.andysconcretesolutions.org/,concrete,019-SJ2-019-andy-s-concrete-solutions.png
