Rank,ID,Business,Industry,Hit Score,Forecast Reply Window,Signal,Email,Website,ServiceFocus,Graphic Filename
101,SJ2-101,Concrete Shells,Concrete,62,2–12 hr,direct contact,erika@concrete-shells.com,https://concrete-shells.com/services/,concrete,101-SJ2-101-concrete-shells.png
102,SJ2-102,Freon Service,HVAC,62,2–12 hr,top-rated,install@freonhvac.com,https://freonhvac.com/,HVAC,102-SJ2-102-freon-service.png
103,SJ2-103,Gigi's Productions,Catering,62,2–12 hr,full-service events,Irenebaker@gigisproductions.com,https://www.gigisproductions.com/,catering,103-SJ2-103-gigi-s-productions.png
104,SJ2-104,Golden Comfort AC & Heating Repair,HVAC,62,2–12 hr,top-rated,info@goldencomfortairhvac.com,https://goldencomfortairhvac.com/,HVAC,104-SJ2-104-golden-comfort-ac-heating-repair.png
105,SJ2-105,Hussey Bros,HVAC,62,2–12 hr,direct contact,corina@husseybros.com,https://www.husseybros.com/,HVAC,105-SJ2-105-hussey-bros.png
106,SJ2-106,HVAC & Insulation Gurus,HVAC,62,2–12 hr,direct inbox,info@insulationgurus.com,https://hvacgurus.net/,HVAC,106-SJ2-106-hvac-insulation-gurus.png
107,SJ2-107,J.A. Antuzzi Concrete,Concrete,62,2–12 hr,showroom,contact@antuzziconcrete.com,https://www.antuzziconcrete.com/,concrete,107-SJ2-107-j-a-antuzzi-concrete.png
108,SJ2-108,Magic Tymes Photo Booth,Photo Booth,62,2–12 hr,event bookings,info@magictymes.com,https://magictymes.com/,photo booth,108-SJ2-108-magic-tymes-photo-booth.png
109,SJ2-109,NANKI Auto Body,Auto Body,62,2–12 hr,1-business-hour response,info@nankiautobody.com,https://nankiautobody.com/,collision repair,109-SJ2-109-nanki-auto-body.png
110,SJ2-110,Pony Construction,Concrete,62,2–12 hr,project inquiry,admin@pony-construction.com,https://www.pony-construction.com/,concrete,110-SJ2-110-pony-construction.png
111,SJ2-111,Precision Heating & Cooling,HVAC,62,2–12 hr,top-rated,info@pheating.com,https://pheating.com/,HVAC,111-SJ2-111-precision-heating-cooling.png
112,SJ2-112,Pro Line Garage Doors,Garage Door,62,2–12 hr,fast quote,hello@prolinedoorservice.com,https://prolinedoorservice.com/garage-door-repair/,garage door repair,112-SJ2-112-pro-line-garage-doors.png
113,SJ2-113,Safety Garage Door,Garage Door,62,2–12 hr,local service page,info@safetygaragedoor.com,https://safetygaragedoor.com/locations/san-jose-ca,garage door repair,113-SJ2-113-safety-garage-door.png
114,SJ2-114,Shop 21 Auto Body,Auto Body,62,2–12 hr,responds quickly,Info@shop21auto.com,https://shop21autobody.com/contact/,collision repair,114-SJ2-114-shop-21-auto-body.png
115,SJ2-115,Snackwise,Catering,62,2–12 hr,sales inbox,sales@snackwise.com,https://www.getsnackwise.com/catering,catering,115-SJ2-115-snackwise.png
116,SJ2-116,Stella Booth,Photo Booth,62,2–12 hr,newer operator,book@stellabooth.com,https://stellabooth.com/,photo booth,116-SJ2-116-stella-booth.png
117,SJ2-117,Sushi Confidential Catering,Catering,62,2–12 hr,corporate focus,catering@sushiconfidential.com,https://catering.sushiconfidential.com/,catering,117-SJ2-117-sushi-confidential-catering.png
118,SJ2-118,The Injector Lounge,Med Spa,62,2–12 hr,appointment-driven,info@theinjectorlounge.com,https://theinjectorlounge.com/,med spa,118-SJ2-118-the-injector-lounge.png
119,SJ2-119,Vazquez Millan Concrete,Concrete,62,2–12 hr,direct estimator,avazquez@mvconcrete.net,https://www.vazquezmillanconcrete.com/,concrete,119-SJ2-119-vazquez-millan-concrete.png
120,SJ2-120,Ace Pools Solutions,Pool Service,58,2–12 hr,direct inbox,acepoolsremodeling@gmail.com,https://www.acepoolremodeling.com/,pool remodeling,120-SJ2-120-ace-pools-solutions.png
121,SJ2-121,Bears Fence,Fencing,58,2–12 hr,free estimates,bearsfencing113@gmail.com,https://www.bearsfenceinc.com/,fences and decks,121-SJ2-121-bears-fence.png
122,SJ2-122,Bee's Flowers,Florist,58,2–12 hr,recent reviews,beesflowersshop@gmail.com,https://beesflowerssj.com/,florist,122-SJ2-122-bee-s-flowers.png
123,SJ2-123,Eku Eku Bakery,Bakery,58,2–12 hr,custom orders,ekuekubakes@gmail.com,https://www.ekuekubakery.com/,bakery,123-SJ2-123-eku-eku-bakery.png
124,SJ2-124,Equity Construction,Remodeling,58,2–12 hr,office inbox,equityconstructionoffice@gmail.com,https://www.equityconstructionremodeling.com/,remodeling,124-SJ2-124-equity-construction.png
125,SJ2-125,Faith Painting,Painting,58,2–12 hr,local contractor,faith_painting@yahoo.com,https://faithpainting.com/,painting,125-SJ2-125-faith-painting.png
126,SJ2-126,Flora Haven,Florist,58,2–12 hr,recent reviews,florahavenretreat@gmail.com,https://florahaven.com/,floral design,126-SJ2-126-flora-haven.png
127,SJ2-127,Hair's Inn Salon,Hair Salon,58,2–12 hr,direct inbox,hairsinninc@gmail.com,https://hairsinn.com/,hair salon,127-SJ2-127-hair-s-inn-salon.png
128,SJ2-128,Highline Auto Care,Auto Detailing,58,2–12 hr,fast custom quote,highlineautocaresj@gmail.com,https://www.highlineautocare.com/contact,ceramic coating and detailing,128-SJ2-128-highline-auto-care.png
129,SJ2-129,House Doctor Painting,Painting,58,2–12 hr,free estimates,hsdrpainting@yahoo.com,https://housedoctorpainting.com/,painting,129-SJ2-129-house-doctor-painting.png
130,SJ2-130,House of Inanna,Dance,58,2–12 hr,direct inbox,hoidancers@gmail.com,https://www.inannaraqs.com/contact-us,dance classes,130-SJ2-130-house-of-inanna.png
131,SJ2-131,Luna's Auto Detailing,Auto Detailing,58,2–12 hr,mobile operator,lunasautodetailing.sj@gmail.com,https://www.lunasautodetailing.com/,mobile detailing,131-SJ2-131-luna-s-auto-detailing.png
132,SJ2-132,Modern Training Academy,Martial Arts,58,2–12 hr,direct inbox,mta.martialarts@gmail.com,https://www.moderntrainingacademy.com/,martial arts,132-SJ2-132-modern-training-academy.png
133,SJ2-133,One-Up Builders,Remodeling,58,2–12 hr,direct inbox,oneupbuilders.co@gmail.com,https://www.one-upbuilders.com/contact,remodeling,133-SJ2-133-one-up-builders.png
134,SJ2-134,Pageboy Hair Salon,Hair Salon,58,2–12 hr,direct inbox,pageboysj@gmail.com,https://pageboysj.com/,hair salon,134-SJ2-134-pageboy-hair-salon.png
135,SJ2-135,Rodriguez Generation Construction,Remodeling,58,2–12 hr,direct inbox,rgenerationconstruction@gmail.com,https://rodriguezgenerationconstruction.com/,remodeling,135-SJ2-135-rodriguez-generation-construction.png
136,SJ2-136,Rosa's Maintenance,Landscaping,58,2–12 hr,quote requests,onceuponanacre@gmail.com,https://www.rosasmaintenance.com/contact,landscaping,136-SJ2-136-rosa-s-maintenance.png
137,SJ2-137,Santa Clara Dog Training Club,Dog Training,58,2–12 hr,local classes,santaclaradogtraining@gmail.com,https://www.santaclaradog.org/contact,dog training,137-SJ2-137-santa-clara-dog-training-club.png
138,SJ2-138,Starlite Ballroom,Dance,58,2–12 hr,free trial,thestarliteballroom@gmail.com,https://www.thestarliteballroom.com/studio,dance classes,138-SJ2-138-starlite-ballroom.png
139,SJ2-139,Step By Step Academy,Child Care,58,2–12 hr,direct inbox,info.stepbystep@yahoo.com,https://www.childcarestepbystep.com/,child care,139-SJ2-139-step-by-step-academy.png
140,SJ2-140,Stones Landscaping,Landscaping,58,2–12 hr,free estimate,stoneslandscapinginc1201@gmail.com,https://stoneslandscapinginc.com/contact/,landscaping,140-SJ2-140-stones-landscaping.png
141,SJ2-141,The Dance Affair,Dance,58,2–12 hr,free trials,thedanceaffair@gmail.com,https://thedanceaffair.com/,dance classes,141-SJ2-141-the-dance-affair.png
142,SJ2-142,The Nail Print,Nail Salon,58,2–12 hr,appointment-driven,TheNailPrintLLC@gmail.com,https://thenailprintsj.com/,nail salon,142-SJ2-142-the-nail-print.png
143,SJ2-143,The Nobel Venue,Event Venue,58,2–12 hr,direct inbox,TheNobelVenue@gmail.com,https://the-nobel-venue.odoo.com/,event venue,143-SJ2-143-the-nobel-venue.png
144,SJ2-144,West Valley Arborists,Tree Service,58,2–12 hr,city-approved list,Westvalleyarborists@gmail.com,https://westvalleyarborists.com/,tree service,144-SJ2-144-west-valley-arborists.png
145,SJ2-145,A2Z Home Improvements,Remodeling,55,2–12 hr,sales inbox,sales@a2zhomeimprovementsinc.com,https://www.a2zhomeimprovementsinc.com/,remodeling,145-SJ2-145-a2z-home-improvements.png
146,SJ2-146,ACE Academy San Jose,Tutoring,55,2–12 hr,location inbox,Center.SanJose@lingoace.com,https://www.aceacademy.com/learning-center/san-jose,tutoring,146-SJ2-146-ace-academy-san-jose.png
147,SJ2-147,Apex Gymnastics,Fitness,55,2–12 hr,direct inbox,info@apexgym.net,https://www.apexgym.net/contact,gymnastics,147-SJ2-147-apex-gymnastics.png
148,SJ2-148,Barbell Athletic,Fitness,55,2–12 hr,downtown gym,help@barbellathletic.com,https://www.barbellathletic.com/,fitness,148-SJ2-148-barbell-athletic.png
149,SJ2-149,Baron Tax Services,Tax & Accounting,55,2–12 hr,direct inbox,info@barontax.com,https://barontax.com/,tax prep,149-SJ2-149-baron-tax-services.png
150,SJ2-150,BaySport Fit@AC,Personal Training,55,2–12 hr,direct inbox,fitatac@baysport.com,https://baysport.com/fitatac-personal-training,personal training,150-SJ2-150-baysport-fit-ac.png
