Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Tallulah's Cottage Bakery & Gift Shop,tallulahscottagebakery@gmail.com,https://www.tallulahscottagebakery.com/,408-610-8761,https://www.tallulahscottagebakery.com/,"Morgan Hill, CA","Custom bakery and gift shop","Tallulah's combines handmade baked goods, custom orders and handcrafted gifts; occasion, customization and ordering content can make a distinctive online/local offer easier to buy.",2026-09-16,"Current owned site publishes Morgan Hill base, exact public email/phone and active custom-order shop.",YES,tallulahscottagebakerygiftshop,tallulahscottagebakery@gmail.com,tallulahscottagebakery.com,4086108761
Nicole Audrey Events,info@nicoleaudreyevents.com,https://www.nicoleaudreyevents.com/,408-634-9623,https://www.nicoleaudreyevents.com/contact,"Morgan Hill, CA","Event planning, rentals and party design","Nicole Audrey Events offers rentals, picnics, birthday/baby-shower design, balloons, micro-weddings and corporate events; package and event-type content can clarify the planning path.",2026-09-16,"Current owned site publishes Morgan Hill service base, public email/phone and active event services.",YES,nicoleaudreyevents,info@nicoleaudreyevents.com,nicoleaudreyevents.com,4086349623
Luxe Studio Morgan Hill,luxe.studio.mh@gmail.com,https://www.theluxestudios.com/,831-207-3362,https://www.theluxestudios.com/contact,"Morgan Hill, CA","Permanent jewelry, appointments, groups and pop-ups","Luxe Studio offers individual jewelry appointments, group sessions, parties and pop-ups; appointment-vs-group content can make its service menu easier to navigate.",2026-09-16,"Current owned site publishes Morgan Hill studio address, exact email/phone and active booking paths.",YES,luxestudiomorganhill,luxe.studio.mh@gmail.com,theluxestudios.com,8312073362
Morgan Hill Creamery,morganhillcreamery@gmail.com,https://www.morganhillcreamery.com/,669-888-3824,https://www.morganhillcreamery.com/contact,"Morgan Hill, CA","Ice cream shop and event catering","Morgan Hill Creamery offers downtown desserts plus party/event catering; menu and event-order content can expose an additional revenue path beyond walk-in scoops.",2026-09-16,"Current owned site publishes downtown Morgan Hill location, exact public email and phone plus catering mention.",YES,morganhillcreamery,morganhillcreamery@gmail.com,morganhillcreamery.com,6698883824
Little Bean's Cat Cafe,cafe@littlebeanscat.cafe,https://www.littlebeanscat.cafe/,408-415-8387,https://www.littlebeanscat.cafe/contact-us,"Morgan Hill, CA","Cat cafe, adoption center and community space","Little Bean's combines a cafe/community experience, adoption meetings and volunteer/fundraising activity; visit and participation content can clarify distinct paths without promising adoption outcomes.",2026-09-16,"Current owned site publishes Morgan Hill address, cafe email/phone and current construction/reopening notice; outreach must not imply guaranteed adoption outcomes.",YES,littlebeanscatcafe,cafe@littlebeanscat.cafe,littlebeanscat.cafe,4084158387
Post N Print,info@postnprint.com,https://www.postnprint.com/,408-416-5559,https://www.postnprint.com/Contact-Us,"Morgan Hill, CA","Printing, shipping, mailboxes and business services","Post N Print bundles printing, packing/shipping, mailbox, live-scan and document services; service-selector content can help customers understand a broad local business center.",2026-09-16,"Current owned site and California DOJ listing publish Morgan Hill address, exact email/phone and active services.",YES,postnprint,info@postnprint.com,postnprint.com,4084165559
Collateral Resources Inc.,sales@collateralresources.com,https://www.collateralresources.com/,408-249-5237,https://www.collateralresources.com/contact,"Morgan Hill, CA","Printing, promotional products and branded merchandise","Collateral Resources coordinates print, promotional items, apparel and large-format branded projects; project-type and quote-prep content can simplify a broad B2B catalog.",2026-09-16,"Current owned contact page publishes Morgan Hill location, sales@collateralresources.com and current service menu.",YES,collateralresourcesinc,sales@collateralresources.com,collateralresources.com,4082495237
Alpha-Lit Silicon Valley,sv@alphalitletters.com,https://www.alphalitsv.com/,408-630-9131,https://www.alphalitsv.com/,"Santa Clara County service area, CA","Marquee letter and number event rentals","Alpha-Lit Silicon Valley rents illuminated letters/numbers for celebrations and events; size, occasion and booking content can turn a visual product into a clearer rental decision.",2026-09-16,"Current owned site publishes sv@alphalitletters.com and Silicon Valley phone; current Visit Morgan Hill venue directory lists the business as an event service.",YES,alphalitsiliconvalley,sv@alphalitletters.com,alphalitsv.com,4086309131
Lavender Fields Band,lavenderfieldsband@gmail.com,https://www.lavenderfieldsband.com/,,https://www.lavenderfieldsband.com/,"Santa Clara County / South Bay, CA","Live music, DJ and event entertainment","Lavender Fields offers live music, DJ and MC services with active 2026 South Bay event dates; event-format and booking content can clarify entertainment choices.",2026-09-16,"Current owned site publishes exact booking email and active 2026 performances at Gilroy/South Bay venues.",YES,lavenderfieldsband,lavenderfieldsband@gmail.com,lavenderfieldsband.com,
Coleman Security and Investigations Inc.,info@usacsi.org,https://usacsi.org/,408-532-8274,https://www.oag.ca.gov/fingerprints/locations/coleman-security-and-investigations-inc,"Morgan Hill, CA","Security, investigations and live-scan business services","Coleman operates local security/investigation and live-scan services; service-selection and appointment-prep content can clarify legitimate business-service paths without making safety guarantees.",2026-09-16,"Current California DOJ listing publishes Morgan Hill address, exact public email/phone and active live-scan operation.",YES,colemansecurityandinvestigationsinc,info@usacsi.org,usacsi.org,4085328274
Fire 4 Hire Catering,jeff@fire4hirecatering.com,https://www.fire4hirecatering.com/,408-710-3716,https://www.fire4hirecatering.com/,"Gilroy, CA","Full-service event catering","Fire 4 Hire caters private parties, corporate events, weddings and fundraisers with an on-site mobile kitchen; event-size and service-style content can clarify planning options.",2026-09-16,"Owned site publishes Gilroy mailing address, exact public email/phone; current local preferred-vendor evidence corroborates ongoing South County event work.",YES,fire4hirecatering,jeff@fire4hirecatering.com,fire4hirecatering.com,4087103716
