Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Graze Life California,grazelifecalifornia@gmail.com,https://grazelifecalifornia.com/,408-597-7819,https://grazelifecalifornia.com/pages/copy-of-lets-connect,"Gilroy, CA","Charcuterie, grazing tables and private workshops","Graze Life sells boards, grazing tables, private workshops and event setups; event-size, format and lead-time content can make a visually strong purchase path easier to plan.",2026-09-16,"Current owned site publishes Gilroy base, public email/phone and active event/workshop offerings.",YES,grazelifecalifornia,grazelifecalifornia@gmail.com,grazelifecalifornia.com,4085977819
GB Landscape Services,info@gblandscapes.net,https://www.gblandscapes.net/,408-847-0900,https://www.gblandscapes.net/,"Gilroy, CA","Residential and commercial landscape construction","GB combines residential/commercial landscaping, water management, hardscape and value engineering; project-type and planning content can clarify which service path fits.",2026-09-16,"Current owned site publishes 5950 Rossi Ln, Gilroy, info@GBLandscapes.net and active South Bay services.",YES,gblandscapeservices,info@gblandscapes.net,gblandscapes.net,4088470900
D.R. Domenichini Construction,info@drdcon.com,https://www.drdcon.com/,408-877-6738,https://www.drdcon.com/,"Morgan Hill / Santa Clara County, CA","Residential remodeling, kitchens, baths and ADUs","D.R. Domenichini publishes kitchens, baths, ADUs/additions and whole-home remodeling with a defined estimate process; project-fit and process content can help homeowners know where to start.",2026-09-16,"Current owned site explicitly serves Santa Clara County and publishes current 2026 activity; current Diamond Certified profile publishes Info@drdcon.com.",YES,drdomenichiniconstruction,info@drdcon.com,drdcon.com,4088776738
Red Roots Landscape,office@red-roots.com,https://redroots.houzzsite.com/about,408-669-4689,https://redroots.houzzsite.com/about,"San Martin, CA","Landscape design and construction","Red Roots presents design/build landscaping with professional affiliations and local San Martin contact; design-vs-build and project-readiness content can clarify its higher-consideration services.",2026-09-16,"Current business-owned Houzz site publishes San Martin location, office@red-roots.com and phone.",YES,redrootslandscape,office@red-roots.com,red-roots.com,4086694689
K & D Landscaping Inc.,info@kndlandscaping.com,https://kndlandscaping.com/,831-728-4018,https://kndlandscaping.com/landscaping-services-in-gilroy/,"Gilroy / Santa Clara County service area, CA","Landscape design, installation and maintenance","K&D explicitly markets landscape design, residential/commercial installation, maintenance, irrigation and weed-abatement services to Gilroy and Santa Clara County; service-selector content can simplify project inquiries.",2026-09-16,"Current owned site explicitly states it serves Gilroy and Santa Clara County and publishes info@kndlandscaping.com.",YES,kdlandscapinginc,info@kndlandscaping.com,kndlandscaping.com,8317284018
Nola Street Kitchen,nolastkitchen@yahoo.com,https://www.nolastreetkitchen.com/,408-337-1242,https://www.nolastreetkitchen.com/contact-us/,"Gilroy, CA","Louisiana-inspired restaurant and takeout","Nola Street Kitchen serves scratch-made Southern food with dine-in and online-order paths; signature-dish and takeout content can make a distinctive local menu easier to discover.",2026-09-16,"Current owned site publishes 1340 1st St, Gilroy, exact public email/phone and current daily service hours.",YES,nolastreetkitchen,nolastkitchen@yahoo.com,nolastreetkitchen.com,4083371242
MySyde,support@mysyde.com,https://mysyde.com/,408-422-2004,https://mysyde.com/privacy-policy/,"Morgan Hill, CA","Local-business community platform","MySyde connects local service providers and communities; provider-onboarding, use-case and feature-explainer content can make the platform easier for local businesses to understand.",2026-09-16,"Current 2025 policy publishes Morgan Hill HQ and support@mysyde.com; Google Play shows the app updated July 29, 2026.",YES,mysyde,support@mysyde.com,mysyde.com,4084222004
Playful People Productions,office@playfulpeople.org,https://playfulpeople.org/,408-878-5362,https://playfulpeople.org/contact-us/,"San Jose, CA","Theater classes, camps and performances","Playful People offers youth/adult classes, camps and multigenerational productions; class-vs-show, registration and first-visit content can clarify how families participate.",2026-09-16,"Current owned contact page publishes Historic Hoover Theater San Jose location, office@playfulpeople.org and phone.",YES,playfulpeopleproductions,office@playfulpeople.org,playfulpeople.org,4088785362
Upbeat Parade Productions,raypulver@upbeatparades.com,https://www.upbeatparades.com/,408-629-2520,https://www.upbeatparades.com/services,"San Jose, CA","Parade production, consulting and event logistics","Upbeat provides full parade production, consulting, logistics, participant coordination and scripts; scope and planning-stage content can clarify a specialized B2B/event service.",2026-09-16,"Current owned 2026 site identifies San Jose headquarters and publishes raypulver@upbeatparades.com and phone.",YES,upbeatparadeproductions,raypulver@upbeatparades.com,upbeatparades.com,4086292520
Cardinal Robotics,team@cardinalrobot.com,https://cardinalrobot.com/,401-660-4449,https://cardinalrobot.com/contact-new.html,"Palo Alto, CA","Commercial robotics deployment and support","Cardinal helps facilities deploy and operate commercial robots; use-case, deployment-readiness and service-vs-purchase content can clarify a technical B2B decision.",2026-09-16,"Current owned contact page publishes Palo Alto location and team@cardinalrobot.com; current 2026 financing site also lists Palo Alto HQ.",YES,cardinalrobotics,team@cardinalrobot.com,cardinalrobot.com,4016604449
