Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Keish Inc.,info@keish.com,https://keish.com/,,https://keish.com/contact/,https://keish.com/services/,San Jose CA,Program/construction management and environmental consulting,"Keish combines PM/CM with environmental compliance and sustainability consulting, giving it several complex services that could benefit from plain-English educational content for project owners and partners.",2026-09-13,"Official contact page lists info@keish.com and a San Jose office; current services pages describe PM/CM, environmental compliance and sustainability work.",YES,,keish,info@keish.com,keish.com,
Joseph J. Albanese Inc.,info@jjalbanese.com,https://www.jjalbanese.com/,408-727-5700,https://www.jjalbanese.com/contactus,https://www.jjalbanese.com/companyprofile,Santa Clara CA,"Concrete, paving, demolition and heavy civil construction","The company publishes a broad mix of concrete, earthwork, demolition, paving and specialty capabilities; a concise capability explainer could help buyers understand when to bring Albanese into a project.",2026-09-13,"Official contact page lists the Santa Clara headquarters, license and info@jjalbanese.com; current company profile documents broad concrete, paving, demolition and earthwork capabilities.",YES,,josephjalbanese,info@jjalbanese.com,jjalbanese.com,4087275700
aL chocoLat Boutique,lena@alchocolat.com,https://alchocolatboutique.com/,408-482-2736,https://alchocolatboutique.com/pages/contact,https://alchocolatboutique.com/,Campbell CA,"Artisan chocolate, gifts and custom events","The boutique explicitly offers custom corporate gifts, weddings and event orders, creating clear material for seasonal gift, event and corporate-order content.",2026-09-13,"Current official store lists Campbell pickup, lena@alchocolat.com, corporate gifts, weddings and custom event orders; site copyright is 2026.",YES,,alchocolatboutique,lena@alchocolat.com,alchocolatboutique.com,4084822736
The Party Helpers,info@thepartyhelpers.com,https://www.thepartyhelpers.com/,408-435-7337,https://www.thepartyhelpers.com/,https://www.thepartyhelpers.com/seasonal-summer-menu-2026,San Jose CA,Full-service catering and events,"The Party Helpers serves personal, wedding and large business events and is actively publishing 2026 seasonal menus, so campaign content can showcase event types, menu flexibility and planning help.",2026-09-13,"Official site lists San Jose address and info@thepartyhelpers.com; Summer 2026 menu confirms active current catering operations and flexible event offerings.",YES,,partyhelpers,info@thepartyhelpers.com,thepartyhelpers.com,4084357337
Smashing Dishes,info@smashingdishes.com,https://smashingdishes.com/,408-263-4366,https://smashingdishes.com/accessibility/,https://smashingdishes.com/,San Jose CA,Full-service catering and event production,"Smashing Dishes combines custom menus with staffing, design, rentals, entertainment and vendor coordination, giving prospects a lot to understand before choosing a full-service event partner.",2026-09-13,"Current official site lists 5202 N. First Street in San Jose and full-service catering/event production; official accessibility page publishes info@smashingdishes.com.",YES,,smashingdishes,info@smashingdishes.com,smashingdishes.com,4082634366
3 Hermanos Mexican Grill,hello@lostreshermanosmexicangrill.com,https://lostreshermanosmexicangrill.com/,669-342-7337,https://www.lostreshermanosmexicangrill.com/,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,San Jose CA,"Mexican restaurant, catering and food truck","The restaurant promotes catering, food-truck service and taquizas alongside its downtown restaurant menu, which lends itself to event-format explainers and signature-dish content.",2026-09-13,"Official site lists the downtown San Jose location, catering and hello@lostreshermanosmexicangrill.com; current City of Santa Clara vendor list independently lists 3 Hermanos as an approved caterer.",YES,,3hermanosmexicangrill,hello@lostreshermanosmexicangrill.com,lostreshermanosmexicangrill.com,6693427337
Joseph Rae BBQ Company,josephraebbq@gmail.com,https://josephraebbqco.com/,510-750-2747,https://josephraebbqco.com/our-menu/,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,Gilroy CA,BBQ catering and events,"Joseph Rae publishes clear catered packages, guest minimums and event terms and is listed by Santa Clara as an approved caterer, making package-comparison and event-planning content especially relevant.",2026-09-13,"Official site lists Gilroy, catering packages and josephraebbq@gmail.com; current City of Santa Clara approved-caterer list independently confirms the same public business email.",YES,,josephraebbq,josephraebbq@gmail.com,josephraebbqco.com,5107502747
Kalesa Restaurant,mykalesa@gmail.com,https://www.mykalesa.com/,408-957-7777,https://www.mykalesa.com/,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,Milpitas CA,Filipino restaurant and full-service catering,"Kalesa explicitly markets authentic Filipino cuisine, takeout and full-service catering, which gives it a natural story around dishes, family-style occasions and catered events.",2026-09-13,"Current official site lists Milpitas address, full-service catering and mykalesa@gmail.com; City of Santa Clara also lists Kalesa as an approved caterer.",YES,,kalesarestaurant,mykalesa@gmail.com,mykalesa.com,4089577777
Oaxacan Kitchen Mobile,theoaxacankitchen@gmail.com,https://oaxacankitchenmobile.com/,650-321-8003,https://oaxacankitchenmobile.com/catering.html,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,"Palo Alto / Santa Clara service area",Oaxacan catering and mobile food truck,"Oaxacan Kitchen offers both full-service and mobile-truck catering for small corporate events through large gatherings, with custom menus and logistics support that can be explained much more simply to buyers.",2026-09-13,"Current official catering page lists theoaxacankitchen@gmail.com, full-service and mobile catering; City of Santa Clara separately lists Oaxacan Kitchen as an approved caterer.",YES,,oaxacankitchenmobile,theoaxacankitchen@gmail.com,oaxacankitchenmobile.com,6503218003
Preligen Artisan Bakery,preligen@preligen.com,https://preligen.com/,669-287-9316,https://preligen.com/catering,https://preligen.com/contact,San Jose CA,Artisan bakery and event catering,"Preligen launched a 2026 catering page for French pastries, corporate meetings and special events, with delivery minimums and recurring-order terms that are ideal for simple buyer-facing content.",2026-09-13,"Official catering and contact pages were published in 2026 and list the San Jose bakery, preligen@preligen.com, catering delivery terms and recurring-order options.",YES,,preligenartisanbakery,preligen@preligen.com,preligen.com,6692879316
