Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Creative Labels Inc.,labels@creativelabels.com,https://www.creativelabels.com/,408-842-0376,https://www.creativelabels.com/,"Gilroy, CA","Custom label printing and packaging","Creative Labels serves food, agriculture, retail and industrial customers with custom labels, variable data and specialty printing; a use-case/quote-prep explainer can make a technical purchase easier.",2026-09-16,"Current owned site publishes Gilroy address, labels@creativelabels.com and active label/printing services.",YES,creativelabelsinc,labels@creativelabels.com,creativelabels.com,4088420376
Great West Equipment Inc.,info@greatwestequipment.com,https://greatwestequipment.com/,408-848-0885,https://greatwestequipment.com/contact-us/,"Gilroy, CA","Paving equipment sales, parts and service","Great West combines paving-equipment sales, parts, rentals and repair; buyer-friendly equipment-vs-service content can clarify several high-value B2B paths.",2026-09-16,"Current owned contact page publishes Gilroy address, info@greatwestequipment.com and active product/service operation.",YES,greatwestequipmentinc,info@greatwestequipment.com,greatwestequipment.com,4088480885
Hilton Garden Inn Gilroy,SJCGH-Salesadm@hilton.com,https://www.hilton.com/en/hotels/sjcghgi-hilton-garden-inn-gilroy/,408-840-7000,https://www.hilton.com/en/hotels/sjcghgi-hilton-garden-inn-gilroy/,"Gilroy, CA","Hotel, group travel and meetings","The Gilroy property supports stays, dining and group travel; location-specific stay and meeting content can clarify booking paths for local visitors and planners.",2026-09-16,"Current official Hilton page publishes Gilroy address, phone and location-specific sales email.",YES,hiltongardeninngilroy,sjcgh-salesadm@hilton.com,hilton.com,4088407000
Pintello Comedy Theater,pintellopct@gmail.com,https://www.pintellocomedy.com/,408-406-6327,https://www.pintellocomedy.com/,"Gilroy, CA","Live theater and ticketed events","Pintello has an active 2026 performance calendar at Gilroy Grange Hall; show-preview, first-visit and ticket-planning content can support current attendance paths.",2026-09-16,"Current owned site lists 2026 productions, Gilroy venue, public email and phone.",YES,pintellocomedytheater,pintellopct@gmail.com,pintellocomedy.com,4084066327
Mini Storage of Gilroy,Laurie@ministorageofgilroy.com,https://www.ministorageofgilroy.com/,408-848-2898,https://www.ministorageofgilroy.com/,"Gilroy, CA","Self storage, RV, boat and vehicle storage","The facility offers multiple storage types, parking and online payment; size/type-selection content can reduce uncertainty before a customer rents.",2026-09-16,"Current owned site publishes Gilroy address, current manager email and active storage offerings.",YES,ministorageofgilroy,laurie@ministorageofgilroy.com,ministorageofgilroy.com,4088482898
Headstart Nursery Inc.,info@headstartnursery.com,https://headstartnursery.com/,408-842-3030,https://headstartnursery.com/,"Gilroy, CA","Commercial nursery and plant production","Headstart serves growers with transplants, plugs and multiple growing locations; product/ordering and crop-selection content can make its B2B catalog easier to navigate.",2026-09-16,"Current owned site lists Gilroy headquarters, info@headstartnursery.com and active production/team information.",YES,headstartnurseryinc,info@headstartnursery.com,headstartnursery.com,4088423030
Family RV Rentals,info@familyrv.com,https://familyrvrentals.net/,408-612-4700,https://familyrvrentals.net/,"Morgan Hill / Gilroy service area, CA","RV and travel-trailer rentals","Family RV publishes a broad fleet and 24/7 reservation path; vehicle-type, trip-fit and rental-prep content can simplify a high-consideration booking.",2026-09-16,"Current owned site lists Santa Clara County operation, public email/phone and active fleet/reservation paths.",YES,familyrvrentals,info@familyrv.com,familyrvrentals.net,4086124700
Poki Bowl Gilroy,info@pokibowl.com,https://pokibowl.com/gilroy/,408-337-5136,https://pokibowl.com/gilroy/,"Gilroy, CA","Restaurant, pickup, delivery and party trays","The Gilroy location offers customizable bowls, pickup/delivery and party trays; ordering and group-meal content can make the local purchase path clearer.",2026-09-16,"Current official location page lists Gilroy address and active ordering; public corporate inbox is published on current site.",YES,pokibowlgilroy,info@pokibowl.com,pokibowl.com,4083375136
Park Street Builders,hello@parkstreetbuilders.com,https://parkstreetbuilders.com/,408-475-2992,https://parkstreetbuilders.com/contact,"Gilroy, CA","Residential remodeling, additions and ADUs","Park Street publishes a Dream-Design-Gather process for renovations, additions and ADUs; process and project-readiness content can clarify a substantial buying decision.",2026-09-16,"Current owned site lists Gilroy office, license, hello@parkstreetbuilders.com and active residential services.",YES,parkstreetbuilders,hello@parkstreetbuilders.com,parkstreetbuilders.com,4084752992
Pacific Oak Properties,jpkent@pacificoak.com,https://www.pacificoak.com/,408-779-1600,https://www.pacificoak.com/contact.html,"Morgan Hill, CA","Commercial property management and leasing","Pacific Oak publishes commercial property and leasing information around Morgan Hill; property-fit and inquiry-prep content can make available services easier for prospective tenants/owners to understand.",2026-09-16,"Owned contact page publishes Morgan Hill office, named business email and phone; no occupancy or investment outcomes are claimed.",YES,pacificoakproperties,jpkent@pacificoak.com,pacificoak.com,4087791600
Old City Hall Restaurant,events.oldcityhallgilroy@gmail.com,https://oldcityhall.biz/,408-842-3454,https://oldcityhall.biz/contact,"Gilroy, CA","Restaurant and private events","Old City Hall combines everyday dining with a historic upstairs event room; dining-vs-event, capacity and planning content can expose a higher-value booking path.",2026-09-16,"Current owned contact page publishes Gilroy address and event email; current Visit Gilroy content describes event capacity/use cases.",YES,oldcityhallrestaurant,events.oldcityhallgilroy@gmail.com,oldcityhall.biz,4088423454
