Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Custom Innovations,info@custom-innovations.com,https://custom-innovations.com/,408-239-6824,https://custom-innovations.com/,https://custom-innovations.com/,"Morgan Hill, CA","Home automation, audio, lighting, networking and security","Custom Innovations presents several integrated residential technology paths; a service-selection and project-planning content pack can clarify how automation, networking, lighting and security fit together.",2026-09-15,"Current owned site/contact evidence identifies the Morgan Hill business and public info@ inbox; current service pages describe automation, audio, lighting, networking and security.",YES,,custominnovations,info@custom-innovations.com,custom-innovations.com,4082396824
The Bakehouse US,info@thebakehouseus.com,https://thebakehouseus.com/,,https://thebakehouseus.com/,https://thebakehouseus.com/,"San Jose, CA","Bakery, preorder and catering","The Bakehouse combines baked goods with preorder and catering paths; product, occasion and ordering guidance can make those purchase choices easier to understand.",2026-09-15,Current owned site publishes a business-intended contact and San Jose ordering/catering information.,YES,,bakehouseus,info@thebakehouseus.com,thebakehouseus.com,
Design Loft Company,info@designloftcompany.com,https://designloftcompany.com/,650-938-8885,https://designloftcompany.com/,https://designloftcompany.com/,"Palo Alto, CA",Interior design and remodeling,"Design Loft combines design and remodeling services, creating a useful project-type and process-education angle for homeowners deciding where to start.",2026-09-15,"Current owned site identifies the Palo Alto business, public contact route and design/remodel service mix.",YES,,designloft,info@designloftcompany.com,designloftcompany.com,6509388885
Marino Painting Co.,info@marinopainting.com,https://marinopainting.com/,408-472-4324,https://marinopainting.com/,https://marinopainting.com/,"Los Gatos, CA",Residential and commercial painting,"Marino Painting offers a visually demonstrable service where preparation, finish choices and project expectations can be explained with before/after and FAQ-style content.",2026-09-15,Current owned site lists Los Gatos contact information and painting services.,YES,,marinopainting,info@marinopainting.com,marinopainting.com,4084724324
Vardy's Jewelers,info@vardys.com,https://vardys.com/,408-446-2900,https://vardys.com/,https://vardys.com/,"Cupertino, CA","Jewelry retail, custom work and repair","Vardy's combines jewelry sales with custom and repair services; service-comparison, care and consultation content can clarify several distinct customer journeys.",2026-09-15,Current owned site lists Cupertino contact information and current jewelry/repair service paths.,YES,,vardysjewelers,info@vardys.com,vardys.com,4084462900
Gallery 1202,info@1202contemporary.com,https://1202contemporary.com/,408-206-0018,https://1202contemporary.com/,https://1202contemporary.com/,"Gilroy, CA","Art gallery, exhibitions and events","Gallery 1202 operates around exhibitions, artists and events; event previews, artist spotlights and visit-planning content fit the offer without inventing attendance or sales outcomes.",2026-09-15,Current gallery website/public contact evidence identifies the Gilroy location and business-intended inbox.,YES,,gallery1202,info@1202contemporary.com,1202contemporary.com,4082060018
Mail All Center,info@mailallcenter.com,https://mailallcenter.com/,650-961-4646,https://mailallcenter.com/,https://mailallcenter.com/,"Mountain View, CA","Mailbox, shipping and business services","Mail All Center offers several small-business and consumer service paths; plain-English service-selector content could help customers choose mailbox, shipping or related services.",2026-09-15,"Current public business site/contact evidence lists Mountain View location, phone and public email.",YES,,mailallcenter,info@mailallcenter.com,mailallcenter.com,6509614646
Ensamble Folclórico Colibrí,info@folcloricocolibri.com,https://folcloricocolibri.com/,669-262-7164,https://folcloricocolibri.com/,https://folcloricocolibri.com/,"San Jose, CA",Dance academy and cultural performance,"The organization offers classes and performances, giving a concrete program-selection and event-preview angle for prospective students and audiences.",2026-09-15,Current owned site lists San Jose contact information and active dance/performance programming.,YES,,ensamblefolclricocolibr,info@folcloricocolibri.com,folcloricocolibri.com,6692627164
2B Creative Theater and Art,info@2bcreativetheaterandart.com,https://2bcreativetheaterandart.com/,408-337-2077,https://2bcreativetheaterandart.com/,https://2bcreativetheaterandart.com/,"San Jose / Saratoga, CA","Theater, art classes and camps","2B Creative offers classes, camps and creative programs; age/program-selection and registration-prep content can make the schedule easier for families to navigate.",2026-09-15,Current owned site publishes public contact information and Santa Clara County class/camp activity.,YES,,2bcreativetheaterart,info@2bcreativetheaterandart.com,2bcreativetheaterandart.com,4083372077
New Ballet,info@newballet.com,https://newballet.com/,408-352-5616,https://newballet.com/,https://newballet.com/,"San Jose, CA",Ballet school and performances,"New Ballet combines training programs and performances; level/program guides and event previews provide specific, useful content angles.",2026-09-15,"Current owned site lists San Jose address, public contact and active school/performance offerings.",YES,,newballet,info@newballet.com,newballet.com,4083525616
