Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Akita Sushi Gourmet Inc,akitasushifoodtruck@gmail.com,https://akitagourmet.com/,408-930-5242,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://akitagourmet.com/catering,"Santa Clara / San Jose, CA","Sushi restaurant and event catering","Akita operates local Santa Clara and San Jose locations and markets catering for corporate lunches, private parties and weddings; content can explain dine-in/order/catering choices and event formats.",2026-09-13,"Current City of Santa Clara approved-caterer list publishes the food-truck email/phone; Akita's current owned catering page documents local locations and event catering.",YES,,akitasushigourmet,akitasushifoodtruck@gmail.com,akitagourmet.com,4089305242
Anytime is Taco Time Inc,lindiatime@hotmail.com,https://anytimeistacotime.com/,408-293-9915,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://anytimeistacotime.com/,"San Jose / Santa Clara service area",Mexican catering and mobile food service,"Anytime is Taco Time offers multiple catering-service levels, so a simple package-comparison campaign can help event buyers understand what changes between basic, classic and full-service options.",2026-09-13,"Current City of Santa Clara approved-caterer list publishes the public email and phone; current business site provides the catering offering used for personalization.",YES,,anytimeistacotime,lindiatime@hotmail.com,anytimeistacotime.com,4082939915
BBQ Kalbi,bbqkalbi@gmail.com,,562-448-4859,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://sites.google.com/site/bbqkalbitaco/home,"San Jose / Silicon Valley, CA",Korean-fusion food truck and catering,"BBQ Kalbi explicitly serves private parties, offices and large events with Korean-fusion food; content can turn menu choices and event catering into a clearer booking story.",2026-09-13,"Current City of Santa Clara approved-caterer list publishes the public email/phone; the business's public Google Site lists Silicon Valley service and catering. Website is intentionally blank for dedupe because sites.google.com is a shared hosting domain, not a business identity domain.",YES,,bbqkalbi,bbqkalbi@gmail.com,,5624484859
Chula Puebla Taco Truck,chulapuebla2015@gmail.com,,408-709-6872,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://mvblfeast.com/food-trucks/,"Santa Clara County, CA",Mexican food truck and catering,"Chula Puebla is currently listed as an approved Santa Clara caterer and in a current Bay Area food-truck network, giving it a clear event-booking and regional Mexican-food story for local content.",2026-09-13,"Current municipal approved-caterer list publishes the email/phone; Moveable Feast currently lists Chula Puebla in its Mexican food-truck network. No owned business domain is claimed.",YES,,chulapueblatacotruck,chulapuebla2015@gmail.com,,4087096872
I Love Cheesesteak,ilovecheesesteaktruck@gmail.com,,408-722-7000,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://mvblfeast.com/food-trucks/,"San Jose / Santa Clara County, CA",Cheesesteak food truck and catering,"The business is a family-operated Bay Area food truck known for cheesesteaks with an Asian twist; menu, story and private-event content provide a specific campaign angle.",2026-09-13,"Current City approved-caterer list publishes the email/phone; Moveable Feast currently includes I Love Cheesesteak among its food-truck vendors and describes the independent family-operated concept.",YES,,ilovecheesesteak,ilovecheesesteaktruck@gmail.com,,4087227000
Joe's Taco Shop / Dominguez Catering,dominguezcatering@gmail.com,,408-623-6945,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://nextdoor.com/pages/joes-taco-shop-san-jose-ca/,"San Jose, CA",Food truck and event catering,"Joe's Taco Shop pairs a local food truck with Dominguez Catering, creating a useful content angle around truck service, catered events and how buyers choose the right format.",2026-09-13,"Current City approved-caterer list publishes the public email/phone; a current local business page independently places Joe's Taco Shop at 948 Coyote Road in San Jose and repeats the catering contact.",YES,,joestacoshopdominguezcatering,dominguezcatering@gmail.com,,4086236945
Falafel Fresh,ihamamjy@comcast.net,https://falafelfresh.org/,408-893-7333,https://www.santaclaraca.gov/our-city/departments-g-z/parks-recreation/reservations-and-permits,https://falafelfresh.org/,"Santa Clara County, CA",Mediterranean catering and food service,"Falafel Fresh has a direct Mediterranean/falafel catering proposition; event-menu and dietary-choice explainers can make the offering easier for local organizers to evaluate.",2026-09-13,"Current City approved-caterer list publishes the public email/phone; the public business site provides catering/service context. The owned website supplies the business-domain identity because the email uses a free/ISP domain.",YES,,falafelfresh,ihamamjy@comcast.net,falafelfresh.org,4088937333
MC Insurance Services,info@mcinsurance.com,https://www.mcinsurance.com/,408-848-2271,https://www.mcinsurance.com/contact,https://www.mcinsurance.com/contact,"Morgan Hill, CA",Health and Medicare insurance services,"MC Insurance has a small local team and a newly listed Morgan Hill office; compliant educational content can explain appointment options, Medicare timelines and what information a consultation covers without making coverage or outcome promises.",2026-09-13,"Current official contact page lists info@mcinsurance.com, business hours and a Morgan Hill office marked new as of May 1, 2026. Any campaign content must remain educational and avoid misleading insurance or health claims.",YES,,mcinsuranceservices,info@mcinsurance.com,mcinsurance.com,4088482271
LWG Construction,info@lwginc.net,https://lwginc.net/,408-463-6676,https://lwginc.net/contact/,https://lwginc.net/contact/,"Morgan Hill, CA",Commercial construction,"LWG invites prospective clients to discuss launching new projects and emphasizes project work and building spaces; project-type, process and portfolio content can make that buying conversation easier to enter.",2026-09-13,"Current official contact page lists the Morgan Hill address, CA license, phone and info@lwginc.net.",YES,,lwgconstruction,info@lwginc.net,lwginc.net,4084636676
All Bay Environmental,info@allbayenvironmental.com,https://www.allbayenvironmental.com/,888-808-2552,https://www.allbayenvironmental.com/contact-us/,https://www.allbayenvironmental.com/services/,"Campbell / Morgan Hill, CA",Environmental testing and consulting,"All Bay offers technical asbestos, lead, mold and indoor-air-quality services; plain-English service and 'when do I need this test?' content can help property owners understand a complicated purchase.",2026-09-13,"Current official contact/services pages list Campbell headquarters, Morgan Hill field office, public email/phone and customizable asbestos, lead, mold and IAQ services.",YES,,allbayenvironmental,info@allbayenvironmental.com,allbayenvironmental.com,8888082552
