Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Santa Clara Fine Florals,info@scfineflorals.com,https://santaclarafineflorals.com/,408-791-4874,https://santaclarafineflorals.com/contact-us,https://santaclarafineflorals.com/,"Santa Clara, CA","Florist, corporate flowers and workshops","Santa Clara Fine Florals combines occasion arrangements with corporate events and flower-arranging workshops, while its current site explains next-day online ordering; occasion guides and corporate/workshop content could make these buying paths easier to discover.",2026-09-13,"Current owned contact page publishes info@scfineflorals.com, 408-791-4874 and its Santa Clara location; current owned site separately promotes corporate events, workshops and occasion ordering.",YES,,santaclarafineflorals,info@scfineflorals.com,santaclarafineflorals.com,4087914874
Giuseppe's Specialty Breads,contact@giuseppesspecialtybreads.com,https://giuseppesspecialtybreads.com/,408-838-9060,https://giuseppesspecialtybreads.com/,https://giuseppesspecialtybreads.com/online-orders,"Santa Clara, CA",Artisan bakery and specialty breads,"Giuseppe's sells distinctive flavored artisan breads through a pre-order-and-pickup flow; product-comparison, flavor-pairing and pickup-prep content could turn an unusual product line into easier first purchases without inventing demand.",2026-09-13,"Current owned site publishes contact@giuseppesspecialtybreads.com, 408-838-9060 and 289 Bel Ayre Drive, Santa Clara; current online-order page documents the choose, pre-order and fresh-pickup flow.",YES,,giuseppesspecialtybreads,contact@giuseppesspecialtybreads.com,giuseppesspecialtybreads.com,4088389060
BÁNH BAKERY,hello@banhbakeryco.com,https://www.banhbakeryco.com/,408-444-5688,https://www.banhbakeryco.com/contact,https://www.banhbakeryco.com/faqs,"Santa Clara / Sunnyvale pickup, CA",Small-batch bakery and catering,"BÁNH BAKERY is a sibling-owned small-batch cookie business with heritage-inspired flavors, preorder windows, local pickup and catering; flavor-story, preorder-reminder and catering content could make the purchase path clearer and more memorable.",2026-09-13,Current owned contact page publishes hello@banhbakeryco.com and says inquiries usually receive a response within 24 hours; current FAQ publishes 408-444-5688 and local-order/pickup details.,YES,,bnhbakery,hello@banhbakeryco.com,banhbakeryco.com,4084445688
Advaya Holistic Wellness,advayaholistic@gmail.com,https://www.advayawellness.com/,408-905-7375,https://www.advayawellness.com/,https://www.advayawellness.com/ayurvedic-postpartum-care,"San Jose / Santa Clara County service area, CA",Prenatal yoga and postpartum wellness education,"Advaya publishes distinct prenatal-yoga, birth-preparation and postpartum service paths plus a no-pressure discovery call; strictly non-medical service-selection, first-session and scheduling content could clarify those options without making health-outcome claims.",2026-09-13,"Current owned site publishes advayaholistic@gmail.com, 408-905-7375, a San Jose address and service across Santa Clara, Sunnyvale, Cupertino and nearby South Bay cities; marketing must avoid medical-outcome claims.",YES,,advayaholisticwellness,advayaholistic@gmail.com,advayawellness.com,4089057375
Peaceful Yoga with Heather Ding,peacefulyogahd@gmail.com,https://www.peacefulyogahd.com/,408-372-7150,https://www.peacefulyogahd.com/,https://www.peacefulyogahd.com/hatha-yoga,"Santa Clara, CA",Yoga classes and private yoga sessions,"Peaceful Yoga publishes multiple yoga modalities, current class scheduling and personalized one-on-one sessions; class-type, first-visit and schedule-selection content could reduce uncertainty without promising physical or mental-health results.",2026-09-13,Current owned site publishes peacefulyogahd@gmail.com and 408-372-7150; its current Hatha page places a group class in Santa Clara and lists current booking/pricing details.,YES,,peacefulyogawithheatherding,peacefulyogahd@gmail.com,peacefulyogahd.com,4083727150
Urbanism Designs,hello@urbanismdesigns.com,https://www.urbanismdesigns.com/,,https://www.urbanismdesigns.com/,https://www.urbanismdesigns.com/approach,"Santa Clara County / Bay Area project footprint, CA","Interior design, construction and renovation","Urbanism combines in-house design with medium-to-large new construction, renovation, furnishing and one-off consultations; project-fit, consultation-vs-full-project and design-build process content could help high-value prospects understand where to start.",2026-09-13,"Current owned site publishes hello@urbanismdesigns.com and an active Bay Area construction/design portfolio; its approach page documents full construction/design services, one-off onsite consultations and project imagery tied to San Jose/Los Altos-area work.",YES,,urbanismdesigns,hello@urbanismdesigns.com,urbanismdesigns.com,
Sunnyvale Martial Arts Academy,Frontdesk@sunnyvalemaa.com,https://www.sunnyvalemaa.com/,408-773-8095,https://www.sunnyvalemaa.com/SocialSite/contactus,https://sunnyvalemaa.com/SocialSite/class-schedule,"Sunnyvale, CA",Martial arts instruction,Sunnyvale Martial Arts Academy separates Tae Kwon Do and Jiu Jitsu programs and publishes beginner schedules plus an introductory offer; program-selection and first-class-expectation content could make enrollment easier without promising personal-development outcomes.,2026-09-13,"Current owned contact and schedule pages publish Frontdesk@sunnyvalemaa.com, 408-773-8095 and Sunnyvale facilities for Tae Kwon Do and Jiu Jitsu.",YES,,sunnyvalemartialartsacademy,frontdesk@sunnyvalemaa.com,sunnyvalemaa.com,4087738095
Emerald Art Studio,info@emeraldartstudio.com,https://emeraldartstudio.com/,408-792-6533,https://emeraldartstudio.com/contact-us,https://emeraldartstudio.com/collections/classes,"Campbell, CA","Art studio, pottery, painting, classes and events","Emerald offers pottery, painting, kids classes, events, rentable workspace and corporate packages; class-vs-event-vs-team-building guides and visual workshop previews fit the $100 package particularly well.",2026-09-13,"Current owned contact page publishes info@emeraldartstudio.com, 408-792-6533 and 267 E Campbell Ave; current classes/events pages show active workshops, corporate packages and weekly events.",YES,,emeraldartstudio,info@emeraldartstudio.com,emeraldartstudio.com,4087926533
Ariel Dance Productions,info@arieldanceproductions.com,https://www.arieldanceproductions.com/,408-621-2790,https://www.arieldanceproductions.com/schedule.html,https://www.arieldanceproductions.com/,"Campbell, CA",Dance studio and performance programs,"Ariel publishes a current fall schedule spanning youth, teen and adult classes plus performance opportunities and multiple enrollment methods; age/style selection and enrollment-prep content could make a busy schedule easier for families to navigate.",2026-09-13,"Current owned pages publish info@arieldanceproductions.com, 408-621-2790 and 2385 S Winchester Blvd, Campbell; the site lists 2026 classes and performance dates.",YES,,arieldanceproductions,info@arieldanceproductions.com,arieldanceproductions.com,4086212790
Wah Jee Wah Indian BBQ,info@mywahjeewah.com,https://mywahjeewah.com/,949-628-1501,https://mywahjeewah.com/contact,https://mywahjeewah.com/private-events,"Milpitas, CA","Restaurant, catering and private events","Wah Jee Wah combines a Milpitas restaurant with catering, private events, live stations and event sizes from intimate gatherings to 500+ guests; restaurant-vs-catering-vs-event-path content could turn several revenue paths into clear customer choices.",2026-09-13,"Current owned contact page publishes info@mywahjeewah.com, 949-628-1501 and 418 S Main St, Milpitas; current private-event page documents catering/event inquiry paths and response timing.",YES,,wahjeewahindianbbq,info@mywahjeewah.com,mywahjeewah.com,9496281501
