Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
SynerG Coworking,info@synergcoworking.com,https://synergcoworking.com/,408-767-2015,https://visitgilroy.com/listing/synerg-coworking/289/,"Gilroy, CA","Coworking, meeting rooms and business community","SynerG offers coworking, private meeting rooms, printing/scanning and workshops; membership-vs-room and first-visit content can help remote workers and small businesses choose a path.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone, downtown address and current coworking facilities.",YES,synergcoworking,info@synergcoworking.com,synergcoworking.com,4087672015
Cura Contemporary,curacontemporary@gmail.com,https://curacontemporary.com/,,https://visitgilroy.com/listing/cura-contemporary/384/,"Morgan Hill, CA","Contemporary art gallery, workshops and events","CURA rotates exhibitions and offers workshops, events and a multi-room gallery experience; exhibition-vs-workshop and first-visit content can clarify participation paths.",2026-09-16,"Current Visit Gilroy listing publishes exact public email and Morgan Hill address with active monthly exhibitions/workshops.",YES,curacontemporary,curacontemporary@gmail.com,curacontemporary.com,
La Hacienda Gilroy,lhmr2004@gmail.com,,408-848-4133,https://visitgilroy.com/listing/la-hacienda/6/,"Gilroy, CA","Mexican restaurant, group dining and online ordering","La Hacienda combines everyday dining, group dining, outdoor seating and online orders; occasion and order-path content can make the restaurant easier to choose.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone, address, current hours and online-order availability.",YES,lahaciendagilroy,lhmr2004@gmail.com,,4088484133
Ninja Sushi Gilroy,ninjasushi.gilroy715@gmail.com,,408-847-8855,https://visitgilroy.com/listing/ninja-sushi/16/,"Gilroy, CA","Japanese restaurant and group dining","Ninja Sushi publishes a broad sushi, sashimi, teriyaki and noodle menu with group dining; menu-navigation and first-visit content can help customers choose confidently.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone, address and active hours/menu details.",YES,ninjasushigilroy,ninjasushi.gilroy715@gmail.com,,4088478855
Super Taqueria Gilroy,supertaqueriainc@gmail.com,,408-847-2505,https://visitgilroy.com/listing/super-taqueria/39/,"Gilroy, CA","Mexican restaurant and group dining","Super Taqueria offers a focused authentic Mexican menu with indoor/outdoor group dining; signature-item and ordering content can support local discovery.",2026-09-16,"Current Visit Gilroy listing publishes exact business email, phone, address and current hours.",YES,supertaqueriagilroy,supertaqueriainc@gmail.com,,4088472505
Three Feathers Farm,3featherfarm@gmail.com,,949-334-7113,https://visitgilroy.com/listing/three-feathers-farm/515/,"Morgan Hill, CA","Organic farm, farmstand and seasonal U-pick","Three Feathers combines organic produce, seasonal U-pick, farmstand and online ordering; season, visit and ordering content can make a changing farm offer easier to plan.",2026-09-16,"Current Visit Gilroy listing publishes exact email, Morgan Hill address and current seasonal farmstand/U-pick schedule.",YES,threefeathersfarm,3featherfarm@gmail.com,,9493347113
Heart Space Studio,heartspacegilroy@gmail.com,,408-842-9688,https://visitgilroy.com/listing/heart-space-studio/321/,"Gilroy, CA","Yoga, Pilates and private group experiences","Heart Space offers classes and customized private/group experiences; schedule, class-type and event-use-case content can clarify choices without making health-outcome claims.",2026-09-16,"Current Visit Gilroy listing publishes exact email/phone, Gilroy studio address and active group/class offerings.",YES,heartspacestudio,heartspacegilroy@gmail.com,,4088429688
Pinocchio's Pizza Gilroy,info@gilroypizza.com,https://gilroypizza.com/,408-847-3464,https://visitgilroy.com/listing/pinocchios-pizza/191/,"Gilroy, CA","Family pizza restaurant","Pinocchio's is a family-operated local pizza restaurant; menu, family-meal and order-prep content can strengthen a straightforward local dining path.",2026-09-16,"Current Visit Gilroy listing publishes exact domain email, phone, address and current restaurant hours.",YES,pinocchiospizzagilroy,info@gilroypizza.com,gilroypizza.com,4088473464
Artemex Gilroy,artemexonline@gmail.com,,408-780-5699,https://visitgilroy.com/listing/artemex/312/,"Gilroy, CA","Specialty retail and Mexican artisan goods","Artemex has a downtown Gilroy retail presence; collection, gift and local-shopping content can make specialty inventory easier to discover.",2026-09-16,"Current Visit Gilroy listing publishes exact public email, phone and downtown address.",YES,artemexgilroy,artemexonline@gmail.com,,4087805699
Ginger Cafe Gilroy,info@gingercafe.net,https://gingercafe.net/,408-847-2625,https://visitgilroy.com/listing/ginger-cafe/216/,"Gilroy, CA","Asian restaurant, catering and online ordering","Ginger Cafe combines seasonal Asian cuisine, catering, group dining and online orders; catering-vs-dining and signature-dish content can expose several revenue paths.",2026-09-16,"Current Visit Gilroy listing publishes exact domain email, phone, address, catering and online-order availability.",YES,gingercafegilroy,info@gingercafe.net,gingercafe.net,4088472625
