Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Wisfor Notary Service LLC,wisfornotary@gmail.com,,408-320-9187,https://oag.ca.gov/fingerprints/locations/wisfor-notary-service-llc,"Alviso, CA","Notary and Live Scan","Wisfor offers notary, fingerprinting and mobile-service options; appointment-prep and service-selector content can make an administrative purchase easier to understand.",2026-09-16,"Current California DOJ listing publishes Alviso address, exact public email/phone and active Santa Clara County operation.",YES,wisfornotaryservicellc,wisfornotary@gmail.com,,4083209187
Bay Area Solutions,1bayareasolutions@gmail.com,https://bayareasolutionslivescan.com/,408-377-7446,https://oag.ca.gov/fingerprints/locations/bay-area-solutions,"Campbell, CA","Live Scan, notary and mailbox services","Bay Area Solutions combines Live Scan, notary, mailbox and mobile services; service-selection and appointment-prep content can simplify several administrative paths.",2026-09-16,"Current California DOJ listing publishes Campbell address, exact public email/phone; current owned site confirms active Live Scan/notary/mailbox services.",YES,bayareasolutions,1bayareasolutions@gmail.com,bayareasolutionslivescan.com,4083777446
Verify Group Inc.,admin@verifygroup.com,https://verifygroup.com/,408-761-2156,https://oag.ca.gov/fingerprints/locations/verify-group-inc,"Campbell, CA","Live Scan fingerprinting and mobile services","Verify Group offers walk-in, appointment and mobile fingerprinting for individuals and groups; process, pricing and group-service content can clarify booking choices.",2026-09-16,"Current DOJ listing and owned site publish Campbell address, admin@verifygroup.com, phone and active same-day/mobile services.",YES,verifygroupinc,admin@verifygroup.com,verifygroup.com,4087612156
All Service Center,ASC0316@gmail.com,,408-736-0313,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Sunnyvale, CA","Live Scan and business services","All Service Center is an active Sunnyvale Live Scan provider; document/appointment-prep content can reduce confusion before a fingerprinting visit.",2026-09-16,"Current California DOJ Santa Clara County listing publishes exact email, phone, Sunnyvale address and current operating hours.",YES,allservicecenter,asc0316@gmail.com,,4087360313
KR Services LLC dba Notary Livescan Post,service@mylivescan.com,https://mylivescan.com/,408-739-4400,https://oag.ca.gov/fingerprints/locations/kr-services-llc-dba-notary-livescan-post,"Sunnyvale, CA","Live Scan, notary and postal services","Notary Livescan Post combines fingerprinting, notary and postal/business services; service-selector and visit-prep content can clarify which counter service a customer needs.",2026-09-16,"Current California DOJ listing publishes Sunnyvale address, service@mylivescan.com, phone and extended weekday hours.",YES,krservicesllcdbanotarylivescanpost,service@mylivescan.com,mylivescan.com,4087394400
Quick Scan Notary and Fingerprinting Services,jyotsna.shukla1012@gmail.com,https://quickscannotary.com/,669-261-2459,https://oag.ca.gov/fingerprints/locations/quick-scan-notary-and-fingerprinting-services,"San Jose, CA","Notary, apostille and Live Scan","Quick Scan offers notary, apostille and Live Scan by appointment; service-type and 15-minute appointment-prep content can make an unfamiliar process easier for customers.",2026-09-16,"Current DOJ listing and owned site publish San Jose address, exact public email/phone and current appointment-only hours.",YES,quickscannotaryandfingerprintingservices,jyotsna.shukla1012@gmail.com,quickscannotary.com,6692612459
South Valley Business Services,carla@southvalleysvcs.com,,408-767-2845,https://oag.ca.gov/fingerprints/locations/south-valley-business-services,"Gilroy, CA","DMV registration, Live Scan and business services","South Valley Business Services combines DMV partner services with Live Scan and administrative support; task-based content can help customers know which service can replace a DMV-office trip.",2026-09-16,"Current California DMV partner page and DOJ listing confirm Gilroy address, phone and exact public email.",YES,southvalleybusinessservices,carla@southvalleysvcs.com,,4087672845
PostNet CA267 Gilroy,ca267@postnet.com,,408-767-2200,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Gilroy, CA","Shipping, printing and business services","The Gilroy PostNet location combines shipping, printing and business services; service-selector and project-prep content can make a multi-service storefront easier to use.",2026-09-16,"Current California DOJ Santa Clara County listing publishes location-specific email, phone and Gilroy operation.",YES,postnetca267gilroy,ca267@postnet.com,,4087672200
Postal Annex #14024 Santa Clara,pa14024@postalannex.com,,408-247-0139,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Santa Clara, CA","Shipping, mailbox and Live Scan services","This Santa Clara Postal Annex combines shipping, mailbox and fingerprinting services; service-selection and document-prep content can clarify what customers should bring and book.",2026-09-16,"Current California DOJ listing publishes location-specific public email, phone and Santa Clara address.",YES,postalannex14024santaclara,pa14024@postalannex.com,,4082470139
The UPS Store #1949 Campbell,store1949@theupsstore.com,,408-370-1608,https://oag.ca.gov/fingerprints/locations?county=Santa+Clara,"Campbell, CA","Shipping, printing and business services","The Campbell store supports shipping, printing and administrative services; task-based content can help local customers choose the right in-store service quickly.",2026-09-16,"Current California DOJ directory publishes a location-specific email, phone and Campbell address; shared UPS corporate domain is not used as identity fingerprint.",YES,theupsstore1949campbell,store1949@theupsstore.com,,4083701608
