Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Gilroy Inn,gilroyinn@hotmail.com,,408-847-0688,https://visitgilroy.com/listing/gilroy-inn/154/,"Gilroy, CA","Hotel and lodging","Gilroy Inn offers a straightforward local lodging path near Gilroy attractions; stay-purpose and direct-contact content can improve booking clarity.",2026-09-16,"Current Visit Gilroy listing publishes exact public email, phone and Gilroy address.",YES,gilroyinn,gilroyinn@hotmail.com,,4088470688
Sky Zone Trampoline Park Gilroy,socialteam@skyzone.com,,408-713-5925,https://visitgilroy.com/listing/sky-zone-trampoline-park/85/,"Gilroy, CA","Indoor recreation, parties and group events","The Gilroy trampoline park supports open play, birthday parties and corporate/group events; visit-vs-party content can clarify distinct customer paths.",2026-09-16,"Current Visit Gilroy listing publishes Gilroy address, exact public email, phone and active attraction details.",YES,skyzonetrampolineparkgilroy,socialteam@skyzone.com,,4087135925
Hampton Inn & Suites Gilroy,SJCGY_hampton_suites@hilton.com,,669-239-7044,https://visitgilroy.com/listing/hampton-inn-%26-suites/193/,"Gilroy, CA","Hotel and lodging","The Gilroy Hampton Inn supports direct stays near outlets, wineries, golf and Gilroy Gardens; visitor-purpose content can clarify local stay positioning.",2026-09-16,"Current Visit Gilroy listing publishes location-specific Hilton email, phone and Gilroy address.",YES,hamptoninnsuitesgilroy,sjcgy_hampton_suites@hilton.com,,6692397044
Gilroy Bowl,gm@gilroy-bowl.com,,669-600-6471,https://visitgilroy.com/listing/gilroy-bowl/109/,"Gilroy, CA","Bowling, restaurant and group entertainment","Gilroy Bowl combines renovated bowling lanes, dining, bar and group-friendly entertainment; activity-plus-dining content can make the venue easier to plan.",2026-09-16,"Current Visit Gilroy listing publishes exact GM email, phone and current 2024-renovated operation.",YES,gilroybowl,gm@gilroy-bowl.com,,6696006471
The Oaks Motel,oaksmotelgilroy@gmail.com,,408-367-8145,https://visitgilroy.com/listing/the-oaks-motel/153/,"Gilroy, CA","Motel and lodging","The Oaks Motel provides simple local lodging with parking and in-room amenities; direct-stay and local-visitor content can clarify a basic purchase path.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone and Gilroy address.",YES,theoaksmotel,oaksmotelgilroy@gmail.com,,4083678145
Gilroy U-Pick,dave@gilroyupick.com,,408-607-1417,https://visitgilroy.com/listing/gilroy-u-pick/460/,"Gilroy, CA","Seasonal U-pick farm attraction","Gilroy U-Pick is a seasonal destination; crop-season, first-visit and timing content can make a weather/season-dependent visit easier to plan without inventing availability.",2026-09-16,"Current Visit Gilroy listing publishes exact public email, phone and Gilroy location.",YES,gilroyupick,dave@gilroyupick.com,,4086071417
Gilroy Center for the Arts,gaagca7341@gmail.com,,408-842-6999,https://visitgilroy.com/listing/gilroy-center-for-the-arts/78/,"Gilroy, CA","Arts classes, exhibits and community events","The center runs classes, exhibits, dances, receptions and open-mic/community programming; program-selector and event-preview content can improve participation paths.",2026-09-16,"Current Visit Gilroy listing publishes public email/phone and active arts/event programming.",YES,gilroycenterforthearts,gaagca7341@gmail.com,,4088426999
Ivori Boutique,ivoriboutique@yahoo.com,,408-337-1522,https://visitgilroy.com/listing/ivori-boutique/111/,"Gilroy, CA","Boutique retail and accessories","Ivori sells handbags, jewelry, shoes and accessories while promoting store/virtual events; gift/occasion and new-arrival content can create clearer shopping entry points.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone, downtown address and current store hours.",YES,ivoriboutique,ivoriboutique@yahoo.com,,4083371522
Garlic Farm Inn,garlicfarmtogos5920@gmail.com,,408-847-9702,https://visitgilroy.com/listing/garlic-farm-inn/159/,"Gilroy, CA","Motel and lodging","Garlic Farm Inn offers short-stay lodging near Travel Park Circle; direct-booking and local-destination context can make its basic offer easier to compare.",2026-09-16,"Current Visit Gilroy listing publishes exact email, phone and Gilroy address.",YES,garlicfarminn,garlicfarmtogos5920@gmail.com,,4088479702
The Barn at Hoey Ranch,thebarnathoeyranch@gmail.com,,408-309-1179,https://visitgilroy.com/listing/the-barn-at-hoey-ranch/113/,"Gilroy, CA","Weekend antique, art and shopping destination","The Barn operates year-round on weekends with art, antiques and local shopping; what-to-expect and seasonal-feature content can support destination visits.",2026-09-16,"Current Visit Gilroy listing publishes exact public email, phone, address and hours.",YES,thebarnathoeyranch,thebarnathoeyranch@gmail.com,,4083091179
