Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Engenius Learning - Los Gatos Center,losgatos@engeniuslearning.com,https://www.engeniuslearning.com/,408-399-9765,https://www.engeniuslearning.com/contact-us,https://www.engeniuslearning.com/contact-us,"Los Gatos, CA","Tutoring and academic enrichment","The Los Gatos center offers tutoring and a free three-session trial; subject, trial and first-visit explainers can make the service easier for parents to evaluate without promising grades or test-score outcomes.",2026-09-13,"Current owned contact page lists the Los Gatos center at 291 E. Main Street #B-2, LosGatos@EngeniusLearning.com and 408-399-9765.",YES,,engeniuslearninglosgatoscenter,losgatos@engeniuslearning.com,engeniuslearning.com,4083999765
Morgan Hill Pilates,info@morganhillpilates.com,https://www.morganhillpilates.com/,408-465-9261,https://www.morganhillpilates.com/,https://www.morganhillpilates.com/,"Morgan Hill, CA","Pilates and movement studio","Morgan Hill Pilates presents a local studio with multi-level movement classes; beginner orientation, class-format and studio-expectation content could make a first booking less confusing without health-outcome promises.",2026-09-13,"Current owned site lists 16275 Monterey St Suite M, Morgan Hill, info@morganhillpilates.com and 408-465-9261.",YES,,morganhillpilates,info@morganhillpilates.com,morganhillpilates.com,4084659261
BYOC Auto Repair,byoc2019@gmail.com,https://byocauto.com/,408-262-0114,https://byocauto.com/,https://byocauto.com/contact-us/,"Milpitas, CA","Auto repair and maintenance","BYOC handles routine maintenance through larger repairs; plain-English maintenance-vs-repair, appointment-prep and service-category content can help drivers understand what to expect without promising savings or mechanical outcomes.",2026-09-13,"Current 2026 owned site lists 312 S. Main Street #5, Milpitas, byoc2019@gmail.com, 408-262-0114 and active auto-repair services.",YES,,byocautorepair,byoc2019@gmail.com,byocauto.com,4082620114
The 5th Element Fitness,info@the5thelementfitness.com,https://the5thelementfitness.com/,408-202-4921,https://the5thelementfitness.com/,https://the5thelementfitness.com/,"Morgan Hill, CA","Fitness gym and training","The gym publishes programs, membership questions and a first-visit pathway; simple program, drop-in, membership and getting-started explainers can reduce uncertainty without promising fitness results.",2026-09-13,"Current owned site lists 16195 Condit Rd, Morgan Hill, info@the5thelementfitness.com and 408-202-4921.",YES,,5thelementfitness,info@the5thelementfitness.com,the5thelementfitness.com,4082024921
Two Perfect Events,leah@twoperfectevents.com,https://twoperfectevents.com/,650-260-8788,https://twoperfectevents.com/,https://twoperfectevents.com/privacy,"Palo Alto, CA","Wedding, private-party and corporate event planning","Two Perfect Events offers full-service planning and design for weddings, private parties and corporate events; service-level and planning-process content can show what clients receive without manufacturing urgency.",2026-09-13,"Current owned site lists active planning/design services; its terms/privacy page publishes Two Perfect Events LLC, Palo Alto address, leah@twoperfectevents.com and 650-260-8788.",YES,,twoperfectevents,leah@twoperfectevents.com,twoperfectevents.com,6502608788
Menage a Trois SJ LLC,hello@menageatroisj.com,https://www.menageatroisj.com/,408-673-8869,https://www.menageatroisj.com/,https://www.bizprofile.net/ca/sunnyvale/menage-a-trois-sj,"Sunnyvale, CA","Wedding planning, design and event coordination","The company publishes several planning packages plus rentals, draping and floral design; package-comparison and planning-timeline content can make the differences easier for couples to understand.",2026-09-13,"Current owned site publishes hello@menageatroisj.com and active planning packages; a 2026 California-registry-derived listing places the active LLC in Sunnyvale with a Santa Clara manager.",YES,,menageatroissj,hello@menageatroisj.com,menageatroisj.com,4086738869
Oak Method,hello@oakmethod.fit,https://www.oakmethod.fit/,669-219-8504,https://www.oakmethod.fit/,https://www.oakmethod.fit/,"Morgan Hill, CA","Lagree fitness studio","Oak Method is a small Morgan Hill Lagree studio with first-timer offers and app-based class booking; beginner, class-format and booking content can explain the experience without promising health or body outcomes.",2026-09-13,"Current owned site lists 313 Vineyard Town Center, Morgan Hill, hello@oakmethod.fit and 669-219-8504.",YES,,oakmethod,hello@oakmethod.fit,oakmethod.fit,6692198504
Titans Sports Academy,info@titansmh.com,https://www.titansmh.com/,408-782-2872,https://www.titansmh.com/,https://www.titansmh.com/,"Morgan Hill, CA","Gymnastics and youth sports academy","Titans publishes classes, open-gym activities and dated September 2026 events; parent-facing class, event and first-visit explainers can make enrollment choices easier without promising athletic outcomes.",2026-09-13,"Current owned site lists September 2026 upcoming events, 195 Mast Street #110, Morgan Hill, info@titansmh.com and 408-782-2872.",YES,,titanssportsacademy,info@titansmh.com,titansmh.com,4087822872
Laguna Auto Body,lagunaautobody@gmail.com,https://www.lagunaab.com/,408-942-0513,https://www.lagunaab.com/contact,https://www.lagunaab.com/contact,"Milpitas, CA","Auto body repair and restoration","Laguna publishes direct project/contact channels and vehicle-specific inquiry fields; collision-repair process, estimate-prep and project-type explainers could help customers understand the workflow without promising repair cost or timing.",2026-09-13,"Owned contact page was updated August 2026 and lists 1351 Minnis Circle, Milpitas, LagunaAutoBody@gmail.com and 408-942-0513.",YES,,lagunaautobody,lagunaautobody@gmail.com,lagunaab.com,4089420513
Morgan Hill Bowl,info@morganhillbowl.com,https://www.morganhillbowl.com/,408-778-0909,https://www.morganhillbowl.com/,https://www.morganhillbowl.com/events/,"Morgan Hill, CA","Bowling, parties and corporate events","Morgan Hill Bowl combines 32 lanes, parties, corporate events, leagues, arcade and bocce; occasion-based and event-booking content can help local groups discover more than walk-in bowling.",2026-09-13,"Current owned site lists 650 Tennant Station, Morgan Hill, info@morganhillbowl.com, 408-778-0909 and active October 2026 event listings.",YES,,morganhillbowl,info@morganhillbowl.com,morganhillbowl.com,4087780909
