Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Urban Flora,uflora.co@gmail.com,https://www.urbanflora.store/,408-581-6644,https://www.urbanflora.store/,"San Jose, CA",Florist,"Urban Flora sells fresh seasonal flower arrangements in San Jose and explains how availability can affect color selection; occasion-based, seasonal and designer-choice content can make the buying process easier to understand.",2026-09-16,"Current owned site publishes uflora.co@gmail.com, 408-581-6644, San Jose location and current ordering guidance.",YES,urbanflora,uflora.co@gmail.com,urbanflora.store,4085816644
Lopez Taqueria,lopeztaqueriarestaurant@gmail.com,https://lopeztaquerias.com/,408-732-3854,https://lopeztaquerias.com/catering,"Sunnyvale / San Jose / Gilroy, CA",Restaurant and catering,"Lopez Taqueria operates multiple Santa Clara County locations and offers catering with delivery rules and dietary-accommodation guidance; menu, catering and location-specific content has direct customer utility.",2026-09-16,"Current owned catering page publishes lopeztaqueriarestaurant@gmail.com and Santa Clara County locations in Sunnyvale, San Jose and Gilroy.",YES,lopeztaqueria,lopeztaqueriarestaurant@gmail.com,lopeztaquerias.com,4087323854
Treats by Rumi,info@treatsbyrumi.com,https://treatsbyrumi.com/,+1 408-740-0509,https://treatsbyrumi.com/,"Sunnyvale / Santa Clara County, CA",Pet bakery and pet-event catering,"Treats by Rumi bakes made-to-order pet treats, celebration cakes and catered birthday items with local pickup/delivery; celebration, dietary-request and ordering content is visually distinctive and easy to demonstrate.",2026-09-16,"Current owned site publishes info@treatsbyrumi.com, 408-740-0509 and Santa Clara County service details.",YES,treatsbyrumi,info@treatsbyrumi.com,treatsbyrumi.com,4087400509
What Coffee & Bakery,contact@whatcoffeeandbakery.com,https://www.whatcoffeeandbakery.com/,408-609-3146,https://www.whatcoffeeandbakery.com/,"Santa Clara, CA",Coffee shop bakery and catering,"What Coffee roasts coffee in-house, bakes fresh pastries and offers coffee/pastry catering for meetings, parties and events; product, catering and local-visit content is immediately visual.",2026-09-16,"Current owned site publishes contact@whatcoffeeandbakery.com, Santa Clara address, hours and catering offer.",YES,whatcoffeebakery,contact@whatcoffeeandbakery.com,whatcoffeeandbakery.com,4086093146
Lawza Moroccan Bakery,lawzabakery@gmail.com,https://lawzabakery.com/,650-665-4518,https://lawzabakery.com/collections/all,"Palo Alto / Santa Clara County delivery, CA",Bakery and catering,"Lawza makes Moroccan sweets fresh to order and offers custom orders, catering and delivery to Palo Alto, Mountain View, Sunnyvale, Los Altos, Cupertino and Santa Clara; product, occasion and catering content has strong visual potential.",2026-09-16,"Current owned site publishes lawzabakery@gmail.com, 650-665-4518 and Santa Clara County delivery areas.",YES,lawzamoroccanbakery,lawzabakery@gmail.com,lawzabakery.com,6506654518
DM Blossom Boutique,dmblossomboutique@gmail.com,https://dmblossomboutique.com/,408-916-6204,https://dmblossomboutique.com/nearby/santa-clara/,"Sunnyvale / Santa Clara, CA",Florist and flower delivery,"DM Blossom Boutique creates custom seasonal arrangements and delivers across Sunnyvale, Santa Clara, Mountain View, Palo Alto and Milpitas; occasion, color/style and delivery content can reduce ordering uncertainty.",2026-09-16,"Current owned Santa Clara delivery page publishes dmblossomboutique@gmail.com, 408-916-6204 and Sunnyvale location.",YES,dmblossomboutique,dmblossomboutique@gmail.com,dmblossomboutique.com,4089166204
Paws Palace Santa Clara,pawspalacesantaclara@gmail.com,https://www.pawspalacesc.com/,408-261-2624,https://www.pawspalacesc.com/,"Santa Clara, CA",Pet grooming,"Paws Palace offers bath-and-brush, personalized styling and full grooming by appointment; service-choice, grooming-prep and pet-before/after content can make the offering easy to evaluate.",2026-09-16,"Current owned site publishes pawspalacesantaclara@gmail.com, 408-261-2624 and Santa Clara address.",YES,pawspalacesantaclara,pawspalacesantaclara@gmail.com,pawspalacesc.com,4082612624
Big Kahuna Pools,joe@bigkahunapoolz.com,https://www.bigkahunapoolz.com/,408-613-8347,https://www.bigkahunapoolz.com/,"Morgan Hill / Santa Clara County, CA",Pool service and repair,"Big Kahuna Pools offers weekly pool service and repairs across Morgan Hill, Gilroy, San Martin and additional Santa Clara County cities; maintenance-versus-repair education and seasonal pool-care content fit the buying journey.",2026-09-16,"Current owned site publishes joe@bigkahunapoolz.com, 408-613-8347 and Santa Clara County service areas.",YES,bigkahunapools,joe@bigkahunapoolz.com,bigkahunapoolz.com,4086138347
PoolSky Cupertino Pool Service,support@cupertinopoolservices.com,https://www.cupertinopoolservices.com/,669-328-2160,https://www.cupertinopoolservices.com/service-areas/santa-clara,"Cupertino / Santa Clara, CA",Pool cleaning and equipment service,"PoolSky offers weekly cleaning, deep cleaning, algae treatment, equipment repair and free pool evaluations, with urgent calls often prioritized for same-day response; service-selection and evaluation-prep content is a strong fit.",2026-09-16,"Current owned Santa Clara service page publishes support@cupertinopoolservices.com, 669-328-2160, Cupertino address and free-quote workflow.",YES,poolskycupertinopoolservice,support@cupertinopoolservices.com,cupertinopoolservices.com,6693282160
Freedom Pool Services,freedompoolservices@gmail.com,https://www.freedompoolservices.com/,408-394-8707,https://www.freedompoolservices.com/,"San Jose / Santa Clara County, CA",Pool repair installation and maintenance,"Freedom Pool Services specializes in pool equipment installation, repair, troubleshooting and maintenance and offers energy-efficient equipment options; repair-versus-upgrade and equipment-education content can support high-value inquiries.",2026-09-16,"Current owned site publishes freedompoolservices@gmail.com, 408-394-8707 and San Jose contact details.",YES,freedompoolservices,freedompoolservices@gmail.com,freedompoolservices.com,4083948707
