Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Spotless House Clean,info@spotlesshouseclean.com,https://spotlesshouseclean.com/,408-427-7214,https://spotlesshouseclean.com/,https://spotlesshouseclean.com/,"Gilroy, CA","Residential and recurring house cleaning","Spotless House Clean markets recurring home cleaning, eco-friendly products and a direct quote path; a before/after, recurring-service and quote-prep content pack is easy to demonstrate without inventing savings or results.",2026-09-13,"Current owned site publishes Gilroy service location, info@spotlesshouseclean.com, 408-427-7214, weekday hours, eco-friendly cleaning positioning and a Get a Quote CTA.",YES,,spotlesshouseclean,info@spotlesshouseclean.com,spotlesshouseclean.com,4084277214
"DataMate Bookkeeping and Tax, Inc.",info@datamatebookkeeping.com,https://www.datamatebookkeeping.com/,408-848-2293,https://www.datamatebookkeeping.com/contact/,https://www.datamatebookkeeping.com/contact/,"Gilroy, CA","Bookkeeping, tax and business accounting services","DataMate serves local and national clients and supports remote bookkeeping/tax workflows; a plain-English service-selector, onboarding and deadline-reminder content pack could clarify what clients need without giving tax advice or promising financial outcomes.",2026-09-13,"Current owned contact page lists 7881 Church Street Suite F, Gilroy, info@datamatebookkeeping.com, 408-848-2293 and current weekday hours.",YES,,datamatebookkeepingandtax,info@datamatebookkeeping.com,datamatebookkeeping.com,4088482293
"Corporate West Computer Systems, Inc.",sales@corpwest.com,https://www.corpwest.com/,408-369-4300,https://www.corpwest.com/contact-us/,https://www.corpwest.com/contact-us/,"Campbell, CA","Managed IT, data-center and computer systems services","Corporate West publishes distinct sales, support, accounting and hosting/data-center contact paths; a service-routing and managed-IT explainer pack could make a broad technical offering easier for business buyers to understand without security guarantees.",2026-09-13,"Current owned contact page lists the 307 Orchard City Dr Campbell headquarters, 408-369-4300, sales@corpwest.com and separate support/accounting contacts.",YES,,corporatewestcomputersystems,sales@corpwest.com,corpwest.com,4083694300
"Argonaut Window & Door, Inc.",info@argowin.com,https://www.argowin.com/,800-430-7535,https://www.argowin.com/,https://www.argowin.com/,"Campbell, CA","Window and door sales, design and installation support","Argonaut serves architects, builders and homeowners through multiple showrooms and quote paths; project-type, material-choice and showroom/quote content could turn a broad catalog into easier customer decisions.",2026-09-13,"Current owned site lists a Campbell corporate office at 1901 S Bascom Ave, info@argowin.com, 1-800-430-7535, 40+ years in the category and multiple Bay Area showrooms.",YES,,argonautwindowdoor,info@argowin.com,argowin.com,8004307535
Immaculate Cleaning,info@immaculate-cleaning.org,https://www.immaculate-cleaning.org/,877-696-9322,https://www.immaculate-cleaning.org/services,https://www.immaculate-cleaning.org/,"Santa Clara / Silicon Valley, CA","Residential, commercial, deep and organic cleaning","Immaculate Cleaning combines recurring maintenance, deep cleaning, post-construction cleaning and commercial service across Silicon Valley; service-type and frequency-choice content could reduce booking uncertainty.",2026-09-13,"Current owned site lists 3585 The Alameda, Santa Clara, info@immaculate-cleaning.org, 877-696-9322 and active service areas including San Jose, Santa Clara, Sunnyvale, Cupertino, Campbell and Los Gatos.",YES,,immaculatecleaning,info@immaculate-cleaning.org,immaculate-cleaning.org,8776969322
Safar by Karimi,info@safarbykarimi.com,https://www.safarbykarimi.com/,408-816-8080,https://www.safarbykarimi.com/contact,https://www.safarbykarimi.com/contact,"Cupertino, CA","Restaurant, reservations and private events","Safar separates everyday dining, reservations and private-event inquiries; occasion-based content and a simple private-event path could help customers understand when and how to book without fake scarcity.",2026-09-13,"Current owned contact page lists 19930 Stevens Creek Blvd, Cupertino, info@safarbykarimi.com, 408-816-8080, current hours and a private-event inquiry path.",YES,,safarbykarimi,info@safarbykarimi.com,safarbykarimi.com,4088168080
"Vaastu Realty, Inc.",info@vaasturealty.com,https://vaasturealty.com/,408-888-9927,https://vaasturealty.com/,https://vaasturealty.com/,"Cupertino, CA","Residential real-estate buying, selling, leasing and relocation","Vaastu presents buying, selling, investing, leasing and relocation as separate service paths; a plain-English service-selector and process-explainer pack could make those options easier to navigate without promising investment or home-sale outcomes.",2026-09-13,"Current owned site lists 20289 Stevens Creek Blvd Suite 1004, Cupertino, info@vaasturealty.com, 408-888-9927 and current California license information.",YES,,vaasturealty,info@vaasturealty.com,vaasturealty.com,4088889927
Capybara Clay & Art Studio,info@capybaraclay.com,https://www.capybaraclay.com/,701-367-0187,https://www.capybaraclay.com/,https://www.capybaraclay.com/,"Cupertino, CA","Pottery, clay classes, memberships and private events","Capybara offers birthday parties, courses, memberships, private events, hand sculpting, pottery wheel sessions, day passes and pottery painting; a clear activity-selector and event-content pack could make the many entry points easier to choose.",2026-09-13,"Current owned site lists 10268 Bandley Dr #103, Cupertino, info@capybaraclay.com, current studio hours and active classes/events/membership offerings.",YES,,capybaraclayartstudio,info@capybaraclay.com,capybaraclay.com,7013670187
The Garlic Shoppe,info@garlicshoppe.com,https://garlicshoppe.com/,408-848-3646,https://garlicshoppe.com/pages/contact,https://garlicshoppe.com/pages/contact,"Gilroy, CA","Specialty garlic retail and e-commerce","The Garlic Shoppe combines a physical Gilroy store with online ordering and a distinctive local-product identity; product-use, gift, seasonal and store-visit content could create many concrete promotional angles without inventing demand.",2026-09-13,"Current owned contact page publishes info@garlicshoppe.com, 408-848-3646, Gilroy physical and mailing addresses and current store hours.",YES,,garlicshoppe,info@garlicshoppe.com,garlicshoppe.com,4088483646
Sushi Confidential,catering@sushiconfidential.com,https://sushiconfidential.com/,408-766-3422,https://sushiconfidential.com/catering-from-san-jose/,https://sushiconfidential.com/restaruant-menus/,"Campbell / San Jose / Morgan Hill, CA","Restaurant, catering, private events and team building","Sushi Confidential operates multiple South Bay locations and separately sells catering, private events and team-building experiences; event-type and catering-decision content could expose higher-value occasions beyond everyday dining.",2026-09-13,"Current owned catering page publishes Catering@sushiconfidential.com, catering phone 408-766-3422, 24-hour ordering guidance and South Bay locations including Campbell, San Jose and Morgan Hill.",YES,,sushiconfidential,catering@sushiconfidential.com,sushiconfidential.com,4087663422
